,name,location,mobile_no,email,find_us,qualification,branch,career_issue,looking_for,technology,mode,time_slot,date,attended_by,no_persons,fee_details,year_of_pass_out,status,remarks
0,hidden,ramanattukara,hidden,hidden,google,ug,commerce,no career issue,others,data science,online,morning,11-12-2020,deepak,3,35000,2018,not joined,not impressed
1,hidden,kozhikode,hidden,hidden,google,ug,electronics,no career issue,work experience,mern,offline,morning,12-07-2020,lekha,2,60000,2016,not joined,not interested
2,hidden,nadakkavu,hidden,hidden,social media,pg,electronics,no career issue,others,java,offline,morning,26-07-2020,baiju,3,60000,2020,not joined,joined other institude
3,hidden,ramanattukara,hidden,hidden,social media,ug,other,non it background,short term course,python,offline,morning,18-01-2020,baiju,3,35000,2018,not joined,not interested
4,hidden,westhill,hidden,hidden,social media,ug,computer science,no career issue,work experience,python,online,evening,15-03-2020,rifna,5,60000,2018,not joined,not okay
5,hidden,kozhikode,hidden,hidden,social media,ug,commerce,career gap,work experience,data science,offline,morning,01-06-2020,lekha,2,35000,2020,not joined,not okay
6,hidden,kozhikode,hidden,hidden,social media,ug,computer science,no career issue,short term course,ai,offline,morning,26-09-2020,sandra,1,60000,2017,joined,joined
7,hidden,trivandrum,hidden,hidden,google,pg,electronics,no career issue,short term course,flutter,offline,evening,10-11-2020,faisal,1,12500,2015,not joined,suspected
8,hidden,nadakkavu,hidden,hidden,social media,ug,other,no career issue,work experience,python,offline,morning,09-10-2020,baiju,2,60000,2020,not joined,call not picking
9,hidden,chaliyam,hidden,hidden,social media,ug,computer science,no career issue,job oriented course,mern,offline,morning,07-04-2020,faisal,1,12500,2018,not joined,joined other institude
10,hidden,kozhikode,hidden,hidden,social media,ug,other,no career issue,short term course,testing,offline,evening,04-04-2020,lekha,1,60000,2019,not joined,suspected
11,hidden,kovoor,hidden,hidden,others,ug,electronics,backpapers,job oriented course,java,online,evening,19-08-2020,baiju,2,60000,2018,not joined,joined other institude
12,hidden,nadakkavu,hidden,hidden,social media,ug,civil,backpapers,it internship,python,online,evening,17-06-2020,lekha,1,60000,2018,not joined,suspected
13,hidden,manjeri,hidden,hidden,social media,ug,commerce,no career issue,job oriented course,python,offline,afternoon,08-10-2020,rifna,1,60000,2015,not joined,high fee
14,hidden,palakkad,hidden,hidden,reference,ug,electronics,career gap,others,mern,hybrid,morning,08-09-2020,baiju,2,60000,2015,not joined,not impressed
15,hidden,kozhikode,hidden,hidden,google,ug,electronics,no career issue,others,flutter,online,morning,04-06-2020,baiju,2,60000,2018,not joined,call not picking
16,hidden,nadakkavu,hidden,hidden,social media,ug,mechanical,backpapers,job oriented course,ai,offline,morning,23-05-2020,monish,1,60000,2017,joined,joined
